"term","name"
"GO:0000467","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000470","maturation of LSU-rRNA"
"GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000477","generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"GO:0000481","maturation of 5S rRNA"
"GO:0000492","box C/D snoRNP assembly"
"GO:0000493","box H/ACA snoRNP assembly"
"GO:0000494","box C/D sno(s)RNA 3'-end processing"
"GO:0000495","box H/ACA sno(s)RNA 3'-end processing"
"GO:0000705","achiasmate meiosis I"
"GO:0000706","meiotic DNA double-strand break processing"
"GO:0000707","meiotic DNA recombinase assembly"
"GO:0000709","meiotic joint molecule formation"
"GO:0000710","meiotic mismatch repair"
"GO:0000712","resolution of meiotic recombination intermediates"
"GO:0000713","meiotic heteroduplex formation"
"GO:0000715","nucleotide-excision repair, DNA damage recognition"
"GO:0000719","photoreactive repair"
"GO:0000722","telomere maintenance via recombination"
"GO:0000723","telomere maintenance"
"GO:0000724","double-strand break repair via homologous recombination"
"GO:0000725","recombinational repair"
"GO:0000727","double-strand break repair via break-induced replication"
"GO:0000729","DNA double-strand break processing"
"GO:0000730","DNA recombinase assembly"
"GO:0000731","DNA synthesis involved in DNA repair"
"GO:0000735","removal of nonhomologous ends"
"GO:0000736","double-strand break repair via single-strand annealing, removal of nonhomologous ends"
"GO:0000741","karyogamy"
"GO:0000742","karyogamy involved in conjugation with cellular fusion"
"GO:0000743","nuclear migration involved in conjugation with cellular fusion"
"GO:0000747","conjugation with cellular fusion"
"GO:0000749","response to pheromone triggering conjugation with cellular fusion"
"GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion"
"GO:0000751","mitotic cell cycle G1 arrest in response to pheromone"
"GO:0000752","agglutination involved in conjugation with cellular fusion"
"GO:0000753","cell morphogenesis involved in conjugation with cellular fusion"
"GO:0000755","cytogamy"
"GO:0000770","peptide pheromone export"
"GO:0000819","sister chromatid segregation"
"GO:0000902","cell morphogenesis"
"GO:0000910","cytokinesis"
"GO:0000915","actomyosin contractile ring assembly"
"GO:0000917","division septum assembly"
"GO:0000920","septum digestion after cytokinesis"
"GO:0000921","septin ring assembly"
"GO:0000947","amino acid catabolic process to alcohol via Ehrlich pathway"
"GO:0000949","aromatic amino acid family catabolic process to alcohol via Ehrlich pathway"
"GO:0000950","branched-chain amino acid catabolic process to alcohol via Ehrlich pathway"
"GO:0000955","amino acid catabolic process via Ehrlich pathway"
"GO:0000956","nuclear-transcribed mRNA catabolic process"
"GO:0000957","mitochondrial RNA catabolic process"
"GO:0000958","mitochondrial mRNA catabolic process"
"GO:0000959","mitochondrial RNA metabolic process"
"GO:0000963","mitochondrial RNA processing"
"GO:0000964","mitochondrial RNA 5'-end processing"
"GO:0000965","mitochondrial RNA 3'-end processing"
"GO:0000972","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery"
"GO:0000973","post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery"
"GO:0001015","snoRNA transcription by RNA polymerase II"
"GO:0001100","negative regulation of exit from mitosis"
"GO:0001111","RNA polymerase II promoter clearance"
"GO:0001112","DNA-templated transcription open complex formation"
"GO:0001113","transcription open complex formation at RNA polymerase II promoter"
"GO:0001172","RNA-templated transcription"
"GO:0001174","transcriptional start site selection at RNA polymerase II promoter"
"GO:0001178","regulation of transcriptional start site selection at RNA polymerase II promoter"
"GO:0001188","RNA polymerase I preinitiation complex assembly"
"GO:0001193","maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II"
"GO:0001195","maintenance of transcriptional fidelity during transcription elongation by RNA polymerase III"
"GO:0001402","signal transduction involved in filamentous growth"
"GO:0001403","invasive growth in response to glucose limitation"
"GO:0001407","glycerophosphodiester transmembrane transport"
"GO:0001408","guanine nucleotide transport"
"GO:0001510","RNA methylation"
"GO:0001522","pseudouridine synthesis"
"GO:0001558","regulation of cell growth"
"GO:0001561","fatty acid alpha-oxidation"
"GO:0001578","microtubule bundle formation"
"GO:0001579","medium-chain fatty acid transport"
"GO:0001676","long-chain fatty acid metabolic process"
"GO:0001677","formation of translation initiation ternary complex"
"GO:0001678","intracellular glucose homeostasis"
"GO:0001680","tRNA 3'-terminal CCA addition"
"GO:0001682","tRNA 5'-leader removal"
"GO:0001731","formation of translation preinitiation complex"
"GO:0001732","formation of cytoplasmic translation initiation complex"
"GO:0001762","beta-alanine transport"
"GO:0001881","receptor recycling"
"GO:0001919","regulation of receptor recycling"
"GO:0001927","exocyst assembly"
"GO:0001932","regulation of protein phosphorylation"
"GO:0001933","negative regulation of protein phosphorylation"
"GO:0001934","positive regulation of protein phosphorylation"
"GO:0002092","positive regulation of receptor internalization"
"GO:0002098","tRNA wobble uridine modification"
"GO:0002100","tRNA wobble adenosine to inosine editing"
"GO:0002101","tRNA wobble cytosine modification"
"GO:0002107","generation of mature 3'-end of 5S rRNA generated by RNA polymerase III"
"GO:0002109","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)"
"GO:0002127","tRNA wobble base cytosine methylation"
"GO:0002128","tRNA nucleoside ribose methylation"
"GO:0002130","wobble position ribose methylation"
"GO:0002143","tRNA wobble position uridine thiolation"
"GO:0002181","cytoplasmic translation"
"GO:0002182","cytoplasmic translational elongation"
"GO:0002183","cytoplasmic translational initiation"
"GO:0002184","cytoplasmic translational termination"
"GO:0002188","translation reinitiation"
"GO:0002235","detection of unfolded protein"
"GO:0002236","detection of misfolded protein"
"GO:0002926","tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation"
"GO:0002939","tRNA N1-guanine methylation"
"GO:0002943","tRNA dihydrouridine synthesis"
"GO:0002949","tRNA threonylcarbamoyladenosine modification"
"GO:0003333","amino acid transmembrane transport"
"GO:0003400","regulation of COPII vesicle coating"
"GO:0005975","carbohydrate metabolic process"
"GO:0005976","polysaccharide metabolic process"
"GO:0005977","glycogen metabolic process"
"GO:0005978","glycogen biosynthetic process"
"GO:0005979","regulation of glycogen biosynthetic process"
"GO:0005980","glycogen catabolic process"
"GO:0005981","regulation of glycogen catabolic process"
"GO:0005987","sucrose catabolic process"
"GO:0005991","trehalose metabolic process"
"GO:0005992","trehalose biosynthetic process"
"GO:0005993","trehalose catabolic process"
"GO:0005996","monosaccharide metabolic process"
"GO:0005997","xylulose metabolic process"
"GO:0005998","xylulose catabolic process"
"GO:0005999","xylulose biosynthetic process"
"GO:0006000","fructose metabolic process"
"GO:0006002","fructose 6-phosphate metabolic process"
"GO:0006003","fructose 2,6-bisphosphate metabolic process"
"GO:0006006","glucose metabolic process"
"GO:0006011","UDP-alpha-D-glucose metabolic process"
"GO:0006012","galactose metabolic process"
"GO:0006013","mannose metabolic process"
"GO:0006014","D-ribose metabolic process"
"GO:0006015","5-phosphoribose 1-diphosphate biosynthetic process"
"GO:0006020","inositol metabolic process"
"GO:0006021","inositol biosynthetic process"
"GO:0006030","chitin metabolic process"
"GO:0006031","chitin biosynthetic process"
"GO:0006032","chitin catabolic process"
"GO:0006033","chitin localization"
"GO:0006044","N-acetylglucosamine metabolic process"
"GO:0006048","UDP-N-acetylglucosamine biosynthetic process"
"GO:0006062","sorbitol catabolic process"
"GO:0006066","alcohol metabolic process"
"GO:0006067","ethanol metabolic process"
"GO:0006068","ethanol catabolic process"
"GO:0006071","glycerol metabolic process"
"GO:0006072","glycerol-3-phosphate metabolic process"
"GO:0006074","(1->3)-beta-D-glucan metabolic process"
"GO:0006075","(1->3)-beta-D-glucan biosynthetic process"
"GO:0006077","(1->6)-beta-D-glucan metabolic process"
"GO:0006078","(1->6)-beta-D-glucan biosynthetic process"
"GO:0006080","substituted mannan metabolic process"
"GO:0006081","aldehyde metabolic process"
"GO:0006083","acetate metabolic process"
"GO:0006084","acetyl-CoA metabolic process"
"GO:0006085","acetyl-CoA biosynthetic process"
"GO:0006086","pyruvate decarboxylation to acetyl-CoA"
"GO:0006089","lactate metabolic process"
"GO:0006090","pyruvate metabolic process"
"GO:0006091","generation of precursor metabolites and energy"
"GO:0006094","gluconeogenesis"
"GO:0006096","glycolytic process"
"GO:0006097","glyoxylate cycle"
"GO:0006098","pentose-phosphate shunt"
"GO:0006099","tricarboxylic acid cycle"
"GO:0006101","citrate metabolic process"
"GO:0006102","isocitrate metabolic process"
"GO:0006103","2-oxoglutarate metabolic process"
"GO:0006104","succinyl-CoA metabolic process"
"GO:0006106","fumarate metabolic process"
"GO:0006107","oxaloacetate metabolic process"
"GO:0006108","malate metabolic process"
"GO:0006109","regulation of carbohydrate metabolic process"
"GO:0006110","regulation of glycolytic process"
"GO:0006111","regulation of gluconeogenesis"
"GO:0006112","energy reserve metabolic process"
"GO:0006114","glycerol biosynthetic process"
"GO:0006119","oxidative phosphorylation"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone"
"GO:0006121","mitochondrial electron transport, succinate to ubiquinone"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen"
"GO:0006127","glycerol-3-phosphate shuttle"
"GO:0006139","nucleobase-containing compound metabolic process"
"GO:0006141","regulation of purine nucleobase metabolic process"
"GO:0006144","purine nucleobase metabolic process"
"GO:0006145","purine nucleobase catabolic process"
"GO:0006146","adenine catabolic process"
"GO:0006147","guanine catabolic process"
"GO:0006148","inosine catabolic process"
"GO:0006149","deoxyinosine catabolic process"
"GO:0006152","purine nucleoside catabolic process"
"GO:0006161","deoxyguanosine catabolic process"
"GO:0006163","purine nucleotide metabolic process"
"GO:0006164","purine nucleotide biosynthetic process"
"GO:0006166","purine ribonucleoside salvage"
"GO:0006168","adenine salvage"
"GO:0006171","cAMP biosynthetic process"
"GO:0006172","ADP biosynthetic process"
"GO:0006177","GMP biosynthetic process"
"GO:0006178","guanine salvage"
"GO:0006183","GTP biosynthetic process"
"GO:0006188","IMP biosynthetic process"
"GO:0006189","'de novo' IMP biosynthetic process"
"GO:0006190","inosine salvage"
"GO:0006198","cAMP catabolic process"
"GO:0006206","pyrimidine nucleobase metabolic process"
"GO:0006207","'de novo' pyrimidine nucleobase biosynthetic process"
"GO:0006212","uracil catabolic process"
"GO:0006216","cytidine catabolic process"
"GO:0006217","deoxycytidine catabolic process"
"GO:0006218","uridine catabolic process"
"GO:0006221","pyrimidine nucleotide biosynthetic process"
"GO:0006222","UMP biosynthetic process"
"GO:0006225","UDP biosynthetic process"
"GO:0006226","dUMP biosynthetic process"
"GO:0006227","dUDP biosynthetic process"
"GO:0006228","UTP biosynthetic process"
"GO:0006231","dTMP biosynthetic process"
"GO:0006233","dTDP biosynthetic process"
"GO:0006235","dTTP biosynthetic process"
"GO:0006241","CTP biosynthetic process"
"GO:0006256","UDP catabolic process"
"GO:0006259","DNA metabolic process"
"GO:0006260","DNA replication"
"GO:0006261","DNA-templated DNA replication"
"GO:0006264","mitochondrial DNA replication"
"GO:0006265","DNA topological change"
"GO:0006267","pre-replicative complex assembly involved in nuclear cell cycle DNA replication"
"GO:0006269","DNA replication, synthesis of primer"
"GO:0006270","DNA replication initiation"
"GO:0006271","DNA strand elongation involved in DNA replication"
"GO:0006272","leading strand elongation"
"GO:0006273","lagging strand elongation"
"GO:0006274","DNA replication termination"
"GO:0006275","regulation of DNA replication"
"GO:0006276","plasmid maintenance"
"GO:0006277","DNA amplification"
"GO:0006278","RNA-templated DNA biosynthetic process"
"GO:0006279","premeiotic DNA replication"
"GO:0006281","DNA repair"
"GO:0006282","regulation of DNA repair"
"GO:0006283","transcription-coupled nucleotide-excision repair"
"GO:0006284","base-excision repair"
"GO:0006285","base-excision repair, AP site formation"
"GO:0006287","base-excision repair, gap-filling"
"GO:0006289","nucleotide-excision repair"
"GO:0006294","nucleotide-excision repair, preincision complex assembly"
"GO:0006297","nucleotide-excision repair, DNA gap filling"
"GO:0006298","mismatch repair"
"GO:0006301","DNA damage tolerance"
"GO:0006302","double-strand break repair"
"GO:0006303","double-strand break repair via nonhomologous end joining"
"GO:0006307","DNA alkylation repair"
"GO:0006308","DNA catabolic process"
"GO:0006309","apoptotic DNA fragmentation"
"GO:0006310","DNA recombination"
"GO:0006311","meiotic gene conversion"
"GO:0006312","mitotic recombination"
"GO:0006314","intron homing"
"GO:0006315","homing of group II introns"
"GO:0006316","movement of group I intron"
"GO:0006325","chromatin organization"
"GO:0006334","nucleosome assembly"
"GO:0006335","DNA replication-dependent chromatin assembly"
"GO:0006337","nucleosome disassembly"
"GO:0006338","chromatin remodeling"
"GO:0006351","DNA-templated transcription"
"GO:0006352","DNA-templated transcription initiation"
"GO:0006353","DNA-templated transcription termination"
"GO:0006354","DNA-templated transcription elongation"
"GO:0006355","regulation of DNA-templated transcription"
"GO:0006356","regulation of transcription by RNA polymerase I"
"GO:0006357","regulation of transcription by RNA polymerase II"
"GO:0006359","regulation of transcription by RNA polymerase III"
"GO:0006360","transcription by RNA polymerase I"
"GO:0006361","transcription initiation at RNA polymerase I promoter"
"GO:0006362","transcription elongation by RNA polymerase I"
"GO:0006363","termination of RNA polymerase I transcription"
"GO:0006364","rRNA processing"
"GO:0006366","transcription by RNA polymerase II"
"GO:0006367","transcription initiation at RNA polymerase II promoter"
"GO:0006368","transcription elongation by RNA polymerase II"
"GO:0006369","termination of RNA polymerase II transcription"
"GO:0006370","7-methylguanosine mRNA capping"
"GO:0006376","mRNA splice site recognition"
"GO:0006383","transcription by RNA polymerase III"
"GO:0006384","transcription initiation at RNA polymerase III promoter"
"GO:0006386","termination of RNA polymerase III transcription"
"GO:0006388","tRNA splicing, via endonucleolytic cleavage and ligation"
"GO:0006390","mitochondrial transcription"
"GO:0006391","transcription initiation at mitochondrial promoter"
"GO:0006392","transcription elongation by mitochondrial RNA polymerase"
"GO:0006396","RNA processing"
"GO:0006397","mRNA processing"
"GO:0006399","tRNA metabolic process"
"GO:0006400","tRNA modification"
"GO:0006401","RNA catabolic process"
"GO:0006402","mRNA catabolic process"
"GO:0006403","RNA localization"
"GO:0006404","RNA import into nucleus"
"GO:0006405","RNA export from nucleus"
"GO:0006406","mRNA export from nucleus"
"GO:0006409","tRNA export from nucleus"
"GO:0006412","translation"
"GO:0006413","translational initiation"
"GO:0006414","translational elongation"
"GO:0006415","translational termination"
"GO:0006417","regulation of translation"
"GO:0006418","tRNA aminoacylation for protein translation"
"GO:0006419","alanyl-tRNA aminoacylation"
"GO:0006420","arginyl-tRNA aminoacylation"
"GO:0006421","asparaginyl-tRNA aminoacylation"
"GO:0006422","aspartyl-tRNA aminoacylation"
"GO:0006423","cysteinyl-tRNA aminoacylation"
"GO:0006424","glutamyl-tRNA aminoacylation"
"GO:0006425","glutaminyl-tRNA aminoacylation"
"GO:0006426","glycyl-tRNA aminoacylation"
"GO:0006427","histidyl-tRNA aminoacylation"
"GO:0006428","isoleucyl-tRNA aminoacylation"
"GO:0006429","leucyl-tRNA aminoacylation"
"GO:0006430","lysyl-tRNA aminoacylation"
"GO:0006431","methionyl-tRNA aminoacylation"
"GO:0006432","phenylalanyl-tRNA aminoacylation"
"GO:0006433","prolyl-tRNA aminoacylation"
"GO:0006434","seryl-tRNA aminoacylation"
"GO:0006435","threonyl-tRNA aminoacylation"
"GO:0006436","tryptophanyl-tRNA aminoacylation"
"GO:0006437","tyrosyl-tRNA aminoacylation"
"GO:0006438","valyl-tRNA aminoacylation"
"GO:0006446","regulation of translational initiation"
"GO:0006448","regulation of translational elongation"
"GO:0006449","regulation of translational termination"
"GO:0006450","regulation of translational fidelity"
"GO:0006451","translational readthrough"
"GO:0006452","translational frameshifting"
"GO:0006457","protein folding"
"GO:0006458","'de novo' protein folding"
"GO:0006468","protein phosphorylation"
"GO:0006469","negative regulation of protein kinase activity"
"GO:0006470","protein dephosphorylation"
"GO:0006473","protein acetylation"
"GO:0006474","N-terminal protein amino acid acetylation"
"GO:0006479","protein methylation"
"GO:0006481","C-terminal protein methylation"
"GO:0006487","protein N-linked glycosylation"
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process"
"GO:0006491","N-glycan processing"
"GO:0006493","protein O-linked glycosylation"
"GO:0006497","protein lipidation"
"GO:0006501","C-terminal protein lipidation"
"GO:0006505","GPI anchor metabolic process"
"GO:0006506","GPI anchor biosynthetic process"
"GO:0006508","proteolysis"
"GO:0006511","ubiquitin-dependent protein catabolic process"
"GO:0006513","protein monoubiquitination"
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins"
"GO:0006517","protein deglycosylation"
"GO:0006520","amino acid metabolic process"
"GO:0006521","regulation of amino acid metabolic process"
"GO:0006523","alanine biosynthetic process"
"GO:0006525","arginine metabolic process"
"GO:0006526","L-arginine biosynthetic process"
"GO:0006527","L-arginine catabolic process"
"GO:0006528","asparagine metabolic process"
"GO:0006530","L-asparagine catabolic process"
"GO:0006531","aspartate metabolic process"
"GO:0006532","L-aspartate biosynthetic process"
"GO:0006533","L-aspartate catabolic process"
"GO:0006534","cysteine metabolic process"
"GO:0006535","L-cysteine biosynthetic process from L-serine"
"GO:0006536","glutamate metabolic process"
"GO:0006538","L-glutamate catabolic process"
"GO:0006540","gamma-aminobutyrate shunt"
"GO:0006541","glutamine metabolic process"
"GO:0006543","L-glutamine catabolic process"
"GO:0006544","glycine metabolic process"
"GO:0006545","glycine biosynthetic process"
"GO:0006546","glycine catabolic process"
"GO:0006550","L-isoleucine catabolic process"
"GO:0006552","L-leucine catabolic process"
"GO:0006555","methionine metabolic process"
"GO:0006556","S-adenosylmethionine biosynthetic process"
"GO:0006559","L-phenylalanine catabolic process"
"GO:0006560","L-proline metabolic process"
"GO:0006562","L-proline catabolic process"
"GO:0006563","L-serine metabolic process"
"GO:0006564","L-serine biosynthetic process"
"GO:0006565","L-serine catabolic process"
"GO:0006566","L-threonine metabolic process"
"GO:0006567","L-threonine catabolic process"
"GO:0006568","L-tryptophan metabolic process"
"GO:0006569","L-tryptophan catabolic process"
"GO:0006570","tyrosine metabolic process"
"GO:0006571","L-tyrosine biosynthetic process"
"GO:0006572","L-tyrosine catabolic process"
"GO:0006574","L-valine catabolic process"
"GO:0006591","ornithine metabolic process"
"GO:0006592","ornithine biosynthetic process"
"GO:0006595","polyamine metabolic process"
"GO:0006596","polyamine biosynthetic process"
"GO:0006597","spermine biosynthetic process"
"GO:0006598","polyamine catabolic process"
"GO:0006605","protein targeting"
"GO:0006606","protein import into nucleus"
"GO:0006607","NLS-bearing protein import into nucleus"
"GO:0006611","protein export from nucleus"
"GO:0006612","protein targeting to membrane"
"GO:0006613","cotranslational protein targeting to membrane"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane"
"GO:0006616","SRP-dependent cotranslational protein targeting to membrane, translocation"
"GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"
"GO:0006620","post-translational protein targeting to endoplasmic reticulum membrane"
"GO:0006621","protein retention in ER lumen"
"GO:0006623","protein targeting to vacuole"
"GO:0006624","vacuolar protein processing"
"GO:0006629","lipid metabolic process"
"GO:0006631","fatty acid metabolic process"
"GO:0006633","fatty acid biosynthetic process"
"GO:0006635","fatty acid beta-oxidation"
"GO:0006636","unsaturated fatty acid biosynthetic process"
"GO:0006637","acyl-CoA metabolic process"
"GO:0006641","triglyceride metabolic process"
"GO:0006642","triglyceride mobilization"
"GO:0006644","phospholipid metabolic process"
"GO:0006646","phosphatidylethanolamine biosynthetic process"
"GO:0006650","glycerophospholipid metabolic process"
"GO:0006651","diacylglycerol biosynthetic process"
"GO:0006654","phosphatidic acid biosynthetic process"
"GO:0006655","phosphatidylglycerol biosynthetic process"
"GO:0006656","phosphatidylcholine biosynthetic process"
"GO:0006657","CDP-choline pathway"
"GO:0006658","phosphatidylserine metabolic process"
"GO:0006659","phosphatidylserine biosynthetic process"
"GO:0006660","phosphatidylserine catabolic process"
"GO:0006661","phosphatidylinositol biosynthetic process"
"GO:0006665","sphingolipid metabolic process"
"GO:0006666","3-keto-sphinganine metabolic process"
"GO:0006672","ceramide metabolic process"
"GO:0006673","inositol phosphoceramide metabolic process"
"GO:0006675","mannosyl-inositol phosphorylceramide metabolic process"
"GO:0006676","mannosyl diphosphorylinositol ceramide metabolic process"
"GO:0006688","glycosphingolipid biosynthetic process"
"GO:0006694","steroid biosynthetic process"
"GO:0006696","ergosterol biosynthetic process"
"GO:0006729","tetrahydrobiopterin biosynthetic process"
"GO:0006730","one-carbon metabolic process"
"GO:0006735","NADH regeneration"
"GO:0006739","NADP+ metabolic process"
"GO:0006740","NADPH regeneration"
"GO:0006741","NADP+ biosynthetic process"
"GO:0006742","NADP+ catabolic process"
"GO:0006744","ubiquinone biosynthetic process"
"GO:0006747","FAD biosynthetic process"
"GO:0006749","glutathione metabolic process"
"GO:0006750","glutathione biosynthetic process"
"GO:0006751","glutathione catabolic process"
"GO:0006753","nucleoside phosphate metabolic process"
"GO:0006754","ATP biosynthetic process"
"GO:0006760","folic acid-containing compound metabolic process"
"GO:0006761","dihydrofolate biosynthetic process"
"GO:0006769","nicotinamide metabolic process"
"GO:0006771","riboflavin metabolic process"
"GO:0006772","thiamine metabolic process"
"GO:0006778","porphyrin-containing compound metabolic process"
"GO:0006779","porphyrin-containing compound biosynthetic process"
"GO:0006780","uroporphyrinogen III biosynthetic process"
"GO:0006782","protoporphyrinogen IX biosynthetic process"
"GO:0006783","heme biosynthetic process"
"GO:0006784","heme A biosynthetic process"
"GO:0006788","heme oxidation"
"GO:0006790","sulfur compound metabolic process"
"GO:0006791","sulfur utilization"
"GO:0006796","phosphate-containing compound metabolic process"
